Couplet,Author
"ڀونءِ نہ آئي ڀانءِ، اَلا مان اُڏري ويندو سانءِ،
اَلا مان اُڏري ويندو سانءِ.!",Sheikh Ayaz
"مون سان جاڙَ نہ ڪر، اي جيڏا،! سچ ٿو آءُٗ چوانءِ؛
اَلا مان اُڏري ويندو سانءِ.!",Sheikh Ayaz
"نيٺ تہ ڀانئيندين تون، ھاڻي ڀلي نہ مون کي ڀانءِ؛
اَلا مان اُڏري ويندو سانءِ.!",Sheikh Ayaz
"رھندي جيون جي جھرڻي ۾، ھن جندڙيءَ جي جھانءِ؛
اَلا مان اُڏري ويندو سانءِ.!",Sheikh Ayaz
"تو ۾، مون ۾ ڀيدُ نہ ڪوئي، اَڙي نديءَ جا نِيرَ،
اَڙي نديءَ جا نِيرَ.!",Sheikh Ayaz
"مان پڻ آھيان ڪائي جَڳ جي سندرتا جِي سيرَ،
اَڙي نديءَ جا نِيرَ.!",Sheikh Ayaz
"منھنجي من ۾ چندرما جِي آڌيءَ رات اُڪيرَ،
اَڙي ندي جا نِيرَ.!",Sheikh Ayaz
"منھنجي من ۾ تات ائين، جئن گُھلي ڏکڻ جي ھيرَ،
اَڙي نديءَ جا نِيرَ.!",Sheikh Ayaz
"ڪاريءَ رات، ڪَتيءَ جو پاڇو، ڪيئي نيڻ نياڻُ،
ڪيئي نيڻ نياڻُ.!",Sheikh Ayaz
"جَر ۾ جھرمر، گھَرو، ڪارو، پاڻيءَ جو پھراڻُ،!
ڪيئي نيڻ نياڻُ.!",Sheikh Ayaz
"منھنجي من کي موھي ويو، ھي مَنڊَ بنا مانڊاڻُ،
ڪيئي نيڻ نياڻُ.!",Sheikh Ayaz
"پُٺتي موڙ مَھار،
اَلو ميان، پُٺتي موڙ مھارَ،!",Sheikh Ayaz
"ڇو تون اورانگھي آيو آن، سانگيئڙن جي سارَ،؟
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"ڪھڙيءَسوچ سَٽيا ھيئن لاھي، چِت تان چندن-ھارَ،؟
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"سُرھي سيج ڇڏي تون نِڪتين، ويڙھي ڪي ويچارَ؛
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"ڪھڙيءَ اُڻتُڻ کي اَرپي تو، تن جي تات تنوارَ،؟
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"ڪھڙي مارڳ موھِي آھي، تنھنجي نيڻ َ نھارَ،؟
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"اڳتي لَڪ ُ لَڪ لڱ ڪانڊاري، وِک َ وِکَ ويريء َ وارَ،
اَلو ميان،پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"ڇو نہ ڇپر ۾ ٿو تون گھارين، ڪنھن ڍولئي جي ڍارَ،؟
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"ڪيچ وڃين ڪنھن ڪاڻ، پُنھل تون موٽِي آءُ،!
متِي رات نہ رھندي، رانول،! جيون َ مايا ماڻ:",Sheikh Ayaz
"پُنھل تون موٽِي آءُ.!
ٻيھر ھي ڀنڀورُ نہ ملندءِ، آءُ ڀُليءَ جي ڀاڻِ؛",Sheikh Ayaz
"پُنھل تون موٽِي آءُ.!
ھيءَ ڇاتِي، جا آتِي آھي، تيرَ انھيء َ تي تاڻِ؛",Sheikh Ayaz
"پُنھل تون موٽِي آءُ.!
ھي جڳ ھُو جڳ مون سان جَرڪي، مان تنھنجي چانڊاڻِ؛",Sheikh Ayaz
"روز وڪاڻِي، ھاءَ نماڻِي، وينگس وچ بازار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"ڪَپڙا رنگبرنگي جنھن جا، چپڙا چاشني دار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"مُنھن مُنھن آ مومل جي ماڙي، اُرھُ اُرھ اسرار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"ھر ڪنھن ڪاڻي کي راڻي جو روپ ڏنو ڪلدار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"ڪنھن جي واڇ کٿوري ورڇي، ھانوَ ڏني ھُٻڪار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"پوپٽُ پوپٽ ُ اُڏري ڪنھن جِي، گانجو پي گفتار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"ڪنھن جي کيسي مان کيڪاريو، ڪلجڳ جي ڪرتار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"وھيء َ وھيءَ جي وَکري پرکي، ورھ ڪيا واپار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"ممتا ماريءَ ماء ُ سِٽي ھئي، ڄائيءَ لاءِ ڄمار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"ڪنھن ڄاتو ٿي وقت ڪندو ھيئن لوليءَ تي للڪار،
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"جوڙيو آ جنسارُ بہ ڇا ڇا سڀ پالڻھار،!
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"´چِيت ڪري جي چکجي ڪانھي ڪابہ ڪَڙائي يار،!`
اَلو ميان، وينگس وچ بازار.!",Sheikh Ayaz
"نانگو آھيان،نانگو يارَ.!
نانگو آھيان،نانگو يارَ.!",Sheikh Ayaz
"پھتو آھيان ڪاڪ-ڪنڌيءَ تي، چوري پنھنجو چانگو، يارَ،!
نانگو آھيان، نانگو يارَ.!",Sheikh Ayaz
"نڪتو آھيان ھن نگريءَ ۾ لاھي سِر جو سانگو، يارَ،!
نانگو آھيان، نانگو يارَ.!",Sheikh Ayaz
"مَن جو ميتُ مَھانگو مون لئہ، سارو ديس سھانگو، يارَ،!
نانگو آھيان، نانگو يارَ.!",Sheikh Ayaz
"ھِيرَ مُئي، او ھِيرَ مُئي !_
ڪير چوي ٿو ھير مئي !",Sheikh Ayaz
"رانجھوء َ وِنجھليءَ ڏانھن نھاريو.
ڪير چوي ٿو ھير مئي !",Sheikh Ayaz
"ونجھليءَ پنھنجو ھانءُ نہ ھاريو،
ڪير چوي ٿو ھير مئي.!",Sheikh Ayaz
"ڏات ڏکوئيءَ ڏونگر ڏاريو،
ڪير چوي ٿو ھير مئي.!",Sheikh Ayaz
"ڌرتيءَ ۽ آڪاشَ پُڪاريو،
ڪير چوي ٿو ھير مئي.!",Sheikh Ayaz
"پيارُ نہ مرندو، ڪيئن بہ ماريو،
ڪير چوي ٿو ھير مئي.!",Sheikh Ayaz
"ويري وِھ َ جا ٿانو َ پياريو،
ڪير چوي ٿو ھير مئي.!",Sheikh Ayaz
"ڪافر مومن ناھيان, وو, !
ڪافر مومن ناھيان.!",Sheikh Ayaz
"آء ُٗ ڀٽائي, آءُٗ درازي, ساڳيو نينھن نڀايان, وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"ساڳيو معنيٰ جو مَڌُ پيئان, سامي نانءُٗ سڏايان, وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"ساڳيا سڏ وارڻيان, يارو,! سوريءَ سيج سجايان, وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"رک ۾ چڻنگ چِتائي ڳوليان, باھ نئين ڀڙڪايان, وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"آءُٗ جواني, آءُٗ جوالا, جُڳ جُڳ کي جرڪايان, وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"جھوريان جھونا ڪوڙ,اَلو ميان,!ڪوٽ سوين ڪيرايان,وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"سَرتا,! تو لئہ سپنا آڻيان, ڪيئي عرش اَڏايان,ٖ وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"تو لئہ پيار ُ پِنا مان, ڌرتي,! سَئن ھڻي سِيڏايان, وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"نگريءَ نگريءَ جو سُک سُونجھان,پنھنجو پاڻ ڀلايان,وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"سڀ جو ھانءُ ھندوري لوڏيان, پنھنجي ننڊ ڦٽايان,وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"چيون ٖ! تنھنجو جوڳي آھيان,ڳالھيون تنھنجون ڳايان، وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"تنھنجيءَ پَل پَل جي پيڙا کي, وائيءَ ۾ وَرنايان، وو.!
ڪافر مومن ناھيان.!",Sheikh Ayaz
"بادل ڙي، بادل ڙي،! منھنجا نيڻ نٿا بس ڪن،!
گَجِي گجِي گھنگھور گھٽائون آگم ۾ اڀرن.!",Sheikh Ayaz
"منھنجا نيڻ نہ ٿا بس ڪن.!
سانوڻ من ڀانوڻ ۾ سرتيون،کلندي کيج وجھن،:",Sheikh Ayaz
"منھنجا نيڻ نہ ٿا بس ڪن.!
رُت آئي، رُت ويئي، جُھولي ۾ ٿا ڏينھن جھُلن،",Sheikh Ayaz
"منھنجا نيڻ نہ ٿا بس ڪن.!
مون ڳھليءَ جئن ڳولي ٿي، ڪجھ پن پن منجھ پَون،",Sheikh Ayaz
"منھنجا نيڻ نہ ٿا بس ڪن.!
ڀيڄ ڀنيءَ ڀنڀور مٿان اڄ بوندون ٿيون برسن،",Sheikh Ayaz
"منھنجا نيڻ نہ ٿا بس ڪن.!
ڪھڙي يار پنھونءَ کي چايو آڌيءَ رات اُٺن،!",Sheikh Ayaz
"منھنجا نيڻ نہ ٿا بس ڪن.!
ھاءِ ولھيءَ کي ڪيئن وساريو سُڃ  ۾ سانگيئڙن،!",Sheikh Ayaz
"منھنجا نيڻ نہ ٿا بس ڪن.!
بادل ڙي،بادل ڙي.!",Sheikh Ayaz
"ڪوئي آھي، ڪوئي آھي،!
جيڪو سچ چوي،؟",Sheikh Ayaz
"ڏينھن ڏٺي جو ھن ڏائڻ تان جيڪو گھونگھٽ لاھي،؟
جيڪو سچ چوي،؟",Sheikh Ayaz
"سانگ سياست جا سمجھي،جو ٺاھ ٺڳيءَ جا ڊاھي،
جيڪو سچ چوي،؟",Sheikh Ayaz
"اونداھيءَ سان جيڪو اُلجھي، چانڊوڪيءَ کي چاھي،
جيڪو سچ چوي،؟",Sheikh Ayaz
"سنڌڙي، مون کي سڏ تہ ڏي،! تون چُپ ڇو آھين،ڇاھي.!
جيڪو سچ چوي،؟",Sheikh Ayaz
